Dossier 	 Achatina 	Helena 	75.8 	78.2 	Southern Islets 	141
Dossier 	 Allosaurus 	Helena 	16.4 	10.9 	Underwater Cave 	6
Dossier 	 Ammonite 	Helena 	87.5 	51.4 	Southern Islets 	233
Dossier 	 Anglerfish 	Helena 	24.6 	40.1 	Northern Plains 	7
Dossier 	 Ankylosaurus 	Helena 	15.8 	26.7 	Whitesky Peak 	8
Dossier 	 Araneo 	Helena 	39.6 	45.8 	Central Cave 	64
Dossier 	 Archaeopteryx 	Helena 	18.7 	42.8 	Winter's Mouth hidden behind a waterfall 	9
Dossier 	 Argentavis 	Helena 	21.6 	53.9 	Winter's Mouth 	10
Dossier 	 Arthropleura 	Helena 	14.2 	69.1 	Northern Shores 	11
Dossier 	 Baryonyx 	Helena 	30 	78.1 	Far's Peak 	174
Dossier 	 Basilosaurus 	Helena 	52.4 	17.7 	The Western Approach 	175
Dossier 	 Bee 	Helena 	70.7 	61.1 	The Writhing Swamps 	281
Dossier 	 Beelzebufo 	Helena 	14.8 	81.4 	The Dead Island 	14
Dossier 	 Brontosaurus 	Helena 	31.6 	17.1 	Whitesky Peak 	16
Dossier 	 Carbonemys 	Helena 	10.9 	40.4 	Underwater Cave 	74
Dossier 	 Carnotaurus 	Helena 	33.3 	41 	The Grand Hills 	17
Dossier 	 Castoroides 	Helena 	25.1 	71.8 	The Hidden Lake 	12
Dossier 	 Chalicotherium 	Helena 	31.3 	28.9 	Whitesky Peak 	18
Dossier 	 Cnidaria 	Helena 	49.8 	81.7 	The Caverns of Lost Hope 	160
Dossier 	 Coelacanth 	Helena 	37 	49.9 	The Maw 	19
Dossier 	 Compy 	Helena 	41.2 	49.2 	The Grand Hills 	20
Dossier 	 Daeodon 	Helena 	88.1 	53 	Southern Islets 	282
Dossier 	 Dilophosaur 	Helena 	84.3 	10.2 	Underwater Cave 	0
Dossier 	 Dimetrodon 	Helena 	28.5 	74.2 	Far's Peak 	21
Dossier 	 Dimorphodon 	Helena 	26.6 	70.6 	The Hidden Lake 	22
Dossier 	 Diplocaulus 	Helena 	27.6 	82.6 	Northern Shores 	24
Dossier 	 Diplodocus 	Helena 	25.1 	13.5 	Whitesky Peak 	23
Dossier 	 Dire Bear 	Helena 	40.4 	83.8 	The Eastern Forest 	25
Dossier 	 Direwolf 	Helena 	42.5 	20.8 	The Western Plains 	26
Dossier 	 Dodo 	Helena 	56.7 	21.4 	The Western Approach 	27
Dossier 	 Doedicurus 	Helena 	47 	27.5 	The Western Plains 	28
Dossier 	 Dung Beetle 	Helena 	16.5 	85 	The Dead Island 	13
Dossier 	 Dunkleosteus 	Helena 	44 	55.2 	The Maw 	30
Dossier 	 Electrophorus 	Helena 	36.4 	81.4 	Far's Peak 	234
Dossier 	 Equus 	Helena 	63.6 	33.4 	The Redwood Forests 	237
Dossier 	 Eurypterid 	Helena 	44.1 	49 	The Maw 	31
Dossier 	 Gallimimus 	Helena 	45.6 	62.3 	The Maw 	32
Dossier 	 Giganotosaurus 	Helena 	44 	66.4 	Smuggler's Pass 	33
Dossier 	 Gigantopithecus 	Helena 	26.6 	23.6 	Whitesky Peak 	15
Dossier 	 Hesperornis 	Helena 	81.7 	84.1 	South Haven 	302
Dossier 	 Hyaenodon 	Helena 	80.9 	81.9 	Southeastern Shores 	298
Dossier 	 Ichthyornis 	Helena 	72.8 	64.5 	Southern Islets 	239
Dossier 	 Ichthyosaurus 	Helena 	52.9 	79.8 	Southeastern Shores 	34
Dossier 	 Iguanodon 	Helena 	62.4 	24.7 	The Writhing Swamps 	240
Dossier 	 Kairuku 	Helena 	42.5 	79.6 	The Eastern Forest 	35
Dossier 	 Kaprosuchus 	Helena 	82.9 	51.9 	Lower South Cave 	36
Dossier 	 Kentrosaurus 	Helena 	78.3 	23.6 	Southern Jungle 	283
Dossier 	 Leech 	Helena 	85.3 	53.4 	Lower South Cave 	37
Dossier 	 Leedsichthys 	Helena 	83.1 	23.5 	Cragg's Island 	238
Dossier 	 Liopleurodon 	Helena 	78.2 	24.4 	Southern Jungle 	284
Dossier 	 Lystrosaurus 	Helena 	68.6 	59.3 	Upper South Cave 	38
Dossier 	 Mammoth 	Helena 	71.3 	59.8 	Upper South Cave 	39
Dossier 	 Manta 	Helena 	68.9 	86.2 	Lava Cave 	40
Dossier 	 Megalania 	Helena 	84.4 	84.1 	South Haven 	299
Dossier 	 Megaloceros 	Helena 	67.5 	85.6 	Lava Cave 	41
Dossier 	 Megalodon 	Helena 	41 	47.3 	Central Cave 	42
Dossier 	 Megalosaurus 	Helena 	16.6 	84.1 	North East Cave 	43
Dossier 	 Meganeura 	Helena 	54.3 	41.4 	The Redwood Forests 	29
Dossier 	 Megatherium 	Helena 	75 	21.4 	Southern Jungle 	301
Dossier 	 Mesopithecus 	Helena 	16.1 	84.4 	North East Cave 	44
Dossier 	 Microraptor 	Helena 	48.5 	21.6 	The Western Approach 	235
Dossier 	 Mosasaurus 	Helena 	16.4 	84.5 	North East Cave 	45
Dossier 	 Moschops 	Helena 	64.3 	17.4 	Southern Jungle 	142
Dossier 	 Onyc 	Helena 	66.4 	19.7 	Southern Jungle 	46
Dossier 	 Otter 	Helena 	35.7 	59.1 	The Frozen Tooth 	355
Dossier 	 Oviraptor 	Helena 	58.9 	23.1 	The Western Approach 	47
Dossier 	 Ovis 	Helena 	73.3 	74.1 	Southern Islets 	173
Dossier 	 Pachy 	Helena 	65.5 	40.8 	The Redwood Forests 	48
Dossier 	 Pachyrhinosaurus 	Helena 	77.6 	20.7 	Southern Jungle 	143
Dossier 	 Paraceratherium 	Helena 	65.1 	31.4 	The Redwood Forests 	49
Dossier 	 Parasaur 	Helena 	71.5 	32.1 	The Writhing Swamps 	50
Dossier 	 Pegomastax 	Helena 	82.2 	62.9 	Southern Islets 	163
Dossier 	 Pelagornis 	Helena 	71.3 	47.2 	Southern Islets 	51
Dossier 	 Phiomia 	Helena 	72.5 	53.8 	The Writhing Swamps 	52
Dossier 	 Piranha 	Helena 	68.1 	67.6 	Southern Islets 	53
Dossier 	 Plesiosaur 	Helena 	68.4 	59.5 	The Writhing Swamps 	54
Dossier 	 Procoptodon 	Helena 	72.3 	78.2 	Southern Islets 	55
Dossier 	 Pteranodon 	Helena 	66.9 	76.8 	Southern Islets 	56
Dossier 	 Pulmonoscorpius 	Helena 	80.6 	61.9 	Southern Islets 	63
Dossier 	 Purlovia 	Helena 	36.6 	34.9 	The Grand Hills 	176
Dossier 	 Quetzal 	Helena 	87.4 	23.3 	Cragg's Island 	57
Dossier 	 Raptor 	Helena 	86.8 	25 	Cragg's Island 	58
Dossier 	 Rex 	Helena 	53.1 	92.5 	Underwater Cave 	71
Dossier 	 Sabertooth 	Helena 	77.1 	26.1 	Southern Jungle 	60
Dossier 	 Sabertooth Salmon 	Helena 	87.5 	52.5 	Southern Islets 	61
Dossier 	 Sarco 	Helena 	77.9 	42.9 	Southern Islets 	62
Dossier 	 Spino 	Helena 	75.7 	79.8 	Southern Islets 	65
Dossier 	 Stegosaurus 	Helena 	78.3 	79.1 	Southeast Shores 	66
Dossier 	 Tapejara 	Helena 	62.3 	40.2 	Swamp Cave 	67
Dossier 	 Terror Bird 	Helena 	62.2 	40.9 	Swamp Cave 	68
Dossier 	 Therizinosaur 	Helena 	67.6 	48.5 	The Writhing Swamps 	164
Dossier 	 Thylacoleo 	Helena 	32.4 	66.2 	The Frozen Tooth 	236
Dossier 	 Titanoboa 	Helena 	36.1 	92 	Underwater Cave 	70
Dossier 	 Titanomyrma 	Helena 	49.3 	11.1 	Underwater Cave 	1
Dossier 	 Titanosaur 	Helena 	61.8 	40.7 	Swamp Cave 	69
Dossier 	 Triceratops 	Helena 	87.4 	91 	Underwater Cave 	72
Dossier 	 Trilobite 	Helena 	11 	22.1 	Underwater Cave 	73
Dossier 	 Troodon 	Helena 	75 	78.8 	Southern Islets 	161
Dossier 	 Tusoteuthis 	Helena 	59.9 	21.3 	The Caverns of Lost Faith 	162
Dossier 	 Woolly Rhino 	Helena 	79.2 	32.3 	The Footpaw 	59
Dossier 	 Yutyrannus 	Helena 	73.9 	23.6 	Southern Jungle 	300
Note 	Note #1 	Helena 	8.5 	90.9 	Underwater Cave 	75
Note 	Note #2 	Helena 	91.8 	71.3 	Underwater Cave 	76
Note 	Note #3 	Helena 	91 	36.2 	Underwater Cave 	77
Note 	Note #4 	Helena 	90.6 	13.1 	Underwater Cave 	78
Note 	Note #5 	Helena 	81.5 	44.7 	Southern Islets 	123
Note 	Note #6 	Helena 	77.2 	76.4 	Southern Islets 	127
Note 	Note #7 	Helena 	78.8 	27.7 	The Footpaw 	128
Note 	Note #8 	Helena 	61.2 	81.5 	Southern Islets 	145
Note 	Note #9 	Helena 	49.4 	79.2 	The Caverns of Lost Hope 	153
Note 	Note #10 	Helena 	52.4 	59 	The Redwood Forests 	166
Note 	Note #11 	Helena 	69.8 	61.4 	Upper South Cave 	185
Note 	Note #12 	Helena 	84.1 	52.1 	Lower South Cave 	186
Note 	Note #13 	Helena 	55.2 	27.7 	The Western Approach 	187
Note 	Note #14 	Helena 	26.3 	62.9 	Winter's Mouth 	188
Note 	Note #15 	Helena 	34.1 	56.1 	The Frozen Tooth 	189
Note 	Note #16 	Helena 	40.7 	26.1 	The Western Plains 	190
Note 	Note #17 	Helena 	76.8 	77.3 	Southern Islets 	191
Note 	Note #18 	Helena 	76.6 	70.7 	Southern Islets 	192
Note 	Note #19 	Helena 	25.1 	44.6 	Winter's Mouth 	249
Note 	Note #20 	Helena 	19.2 	49.9 	Winter's Mouth 	250
Note 	Note #21 	Helena 	12.6 	49.3 	Winter's Mouth 	251
Note 	Note #22 	Helena 	24.9 	60.9 	Winter's Mouth 	252
Note 	Note #23 	Helena 	23.9 	65.3 	Smuggler's Pass 	253
Note 	Note #24 	Helena 	28.9 	23.2 	Whitesky Peak 	254
Note 	Note #25 	Helena 	36.2 	22.4 	The Western Plains 	255
Note 	Note #26 	Helena 	27.7 	56.4 	Winter's Mouth 	256
Note 	Note #27 	Helena 	26 	25.6 	Whitesky Peak 	285
